t	chcl3dec	irf	chcl3fit	chcl3res	etohdec	etohfit	etohres	h2odec	h2ofit	h2ores	iprohdec	iprohfit	iprohres
0	4	0.59151	0.06594	-1.96703	1	0.05483	-0.94517	0	0.0288	0.0288	0	0.17804	0.17804
0.0548697	1	0	0.03183	-0.63382	3	0.04398	-2.55999	0	0.0571	0.0571	1	0.10881	-0.89119
0.109739	2	0.02452	0.03408	-1.21921	0	0.04506	0.03809	2	0.04962	-1.95038	1	0.10715	-0.89285
0.164609	4	0	0.03219	-2.40837	2	0.044	-1.49392	0	0.04982	0.04982	2	0.10552	-1.77213
0.219479	2	0.00177	0.0319	-1.20521	1	0.04341	-0.79593	0	0.04803	0.04803	1	0.1039	-0.85011
0.274348	4	0	0.03132	-2.48258	1	0.04268	-0.79654	2	0.04671	-1.95329	1	0.10232	-0.81198
0.329218	2	2.9E-4	0.03088	-1.25945	4	0.042	-3.58015	0	0.04529	0.04529	2	0.10076	-1.80178
0.384088	1	0	0.0304	-0.62016	0	0.04131	0.03737	0	0.04395	0.04395	1	0.09922	-0.90078
0.438958	4	0.00233	0.0302	-2.59885	1	0.04077	-0.91	0	0.04262	0.04262	1	0.0977	-0.9023
0.493827	3	0	0.02961	-1.94458	1	0.04008	-0.91066	0	0.04155	0.04155	1	0.09621	-0.90379
0.548697	0	0.03234	0.03277	0.02255	1	0.04131	-0.90949	0	0.04026	0.04026	0	0.09474	0.09474
0.603567	2	0	0.03046	-1.28936	0	0.0403	0.0403	0	0.04187	0.04187	0	0.0933	0.0933
0.658436	3	0.57549	0.09416	-1.81773	1	0.07033	-0.92967	0	0.04013	0.04013	0	0.09187	0.09187
0.713306	2	0.69375	0.13785	-1.14033	1	0.11889	-0.88111	0	0.09582	0.09582	1	0.17949	-0.82051
0.768176	2	0	0.09693	-1.21721	1	0.10691	-0.89309	1	0.12953	-0.87047	0	0.1435	0.1435
0.823045	4	1.70818	0.28589	-2.14434	0	0.19669	0.19669	1	0.1178	-0.8822	0	0.1413	0.1413
0.877915	3	2.39278	0.45268	-1.4442	2	0.35786	-1.64214	0	0.28272	0.28272	0	0.4062	0.4062
0.932785	5	0.22072	0.33649	-2.69248	2	0.34104	-1.65896	2	0.41841	-1.58159	0	0.38926	0.38926
0.987654	1	0	0.31904	-0.40064	0	0.3315	0.3315	0	0.3884	0.3884	1	0.35006	-0.64994
1.04252	5	0.00687	0.31499	-2.81101	2	0.32659	-1.67341	1	0.37471	-0.62529	1	0.34472	-0.65528
1.09739	3	0	0.30984	-1.68281	0	0.32116	0.32116	1	0.36392	-0.63608	1	0.33946	-0.66054
1.15226	2	4E-4	0.3052	-1.084	1	0.31595	-0.68405	2	0.35289	-1.64711	1	0.33428	-0.63156
1.20713	1	2.2E-4	0.30059	-0.48137	1	0.31079	-0.68921	0	0.34231	0.34231	3	0.32917	-2.41585
1.262	1	0	0.29603	-0.46085	0	0.30571	0.30571	0	0.33203	0.33203	2	0.32415	-1.51587
1.31687	2	0.00489	0.2921	-1.28092	0	0.301	0.301	0	0.32204	0.32204	0	0.3192	0.28873
1.37174	2	0	0.28741	-1.28444	2	0.29603	-1.70397	3	0.31279	-2.68721	1	0.31433	-0.65049
1.42661	2	0.06828	0.29068	-1.24371	1	0.29518	-0.70482	0	0.30331	0.30331	1	0.30953	-0.65504
1.48148	3	0	0.28246	-1.92159	1	0.28964	-0.71036	1	0.30014	-0.69986	1	0.3048	-0.6952
1.53635	0	1.20099	0.41208	0.26977	2	0.3492	-1.6508	0	0.29011	0.29011	1	0.30015	-0.69985
1.59122	3	1.20087	0.47248	-1.65465	0	0.4315	0.4315	0	0.39953	0.39953	0	0.4736	0.4736
1.64609	3	0	0.39811	-1.66417	2	0.40636	-1.59364	0	0.44369	0.44369	1	0.39987	-0.60013
1.70096	2	0.06696	0.39956	-1.04773	0	0.40467	0.40467	0	0.41744	0.41744	0	0.39376	0.39376
1.75583	4	0	0.38977	-2.48473	0	0.39716	0.39716	1	0.40949	-0.59051	1	0.38775	-0.61225
1.8107	2	0	0.38388	-1.058	0	0.39067	0.39067	0	0.3964	0.3964	2	0.38183	-1.53513
1.86557	3	0.06696	0.38554	-1.71157	0	0.38818	0.38818	0	0.38448	0.38448	0	0.376	0.34011
1.92044	1	0	0.37596	-0.40853	1	0.38113	-0.61887	0	0.37878	0.37878	1	0.37026	-0.52397
1.97531	1	1.20087	0.50415	-0.31715	1	0.4392	-0.5608	0	0.3664	0.3664	0	0.36461	0.30337
2.03018	2	1.20098	0.56318	-0.94062	2	0.52003	-1.47997	1	0.47351	-0.52649	5	0.53708	-3.71337
2.08505	3	0	0.48744	-1.68548	0	0.49344	0.49344	0	0.51546	0.51546	1	0.46238	-0.4863
2.13992	3	0.06823	0.48767	-1.77648	0	0.4904	0.4904	0	0.48705	0.48705	3	0.45532	-2.20376
2.19479	3	0	0.47648	-1.69283	1	0.48148	-0.51852	0	0.47712	0.47712	0	0.44837	0.35949
