t	chcl3_dec	chcl3_irf	chcl3_fit	chcl3_res	etoh_dec	etoh_irf	etoh_fit	etoh_res	h2o_dec	h2o_irf	h2o_fit	h2o_res	iproh_dec	iproh_irf	iproh_fit	iproh_res
0.10974	4	0.59151	0.06594	-1.96703	1	0.7977	0.05483	-0.94517	0	0.53383	0.0473	0.0473	0	2	0.17804	0.17804
0.16461	1	0	0.03183	-0.63382	3	0	0.04398	-2.55999	0	0.59151	0.0871	0.0871	1	0	0.10881	-0.89119
0.21948	2	0.02452	0.03408	-1.21921	0	0.02626	0.04506	0.03809	2	0	0.07208	-1.92792	1	0	0.10715	-0.89285
0.27435	4	0	0.03219	-2.40837	2	0	0.044	-1.49392	0	0.02452	0.07208	0.07208	2	0	0.10552	-1.77213
0.32922	2	0.00177	0.0319	-1.20521	1	0.0019	0.04341	-0.79593	0	0	0.0694	0.0694	1	0	0.1039	-0.85011
0.38409	4	0	0.03132	-2.48258	1	0	0.04268	-0.79654	2	0.00177	0.06747	-1.93253	1	0	0.10232	-0.81198
0.43896	2	2.9E-4	0.03088	-1.25945	4	2.8E-4	0.042	-3.58015	0	0	0.06541	0.06541	2	0	0.10076	-1.80178
0.49383	1	0	0.0304	-0.62016	0	0	0.04131	0.03737	0	2.9E-4	0.06347	0.06347	1	0	0.09922	-0.90078
0.5487	4	0.00233	0.0302	-2.59885	1	0.00198	0.04077	-0.91	0	0	0.06155	0.06155	1	0	0.0977	-0.9023
0.60357	3	0	0.02961	-1.94458	1	0	0.04008	-0.91066	0	0.00233	0.05991	0.05991	1	0	0.09621	-0.90379
0.65844	0	0.03234	0.03277	0.02255	1	0.02747	0.04131	-0.90949	0	0	0.05806	0.05806	0	0	0.09474	0.09474
0.71331	2	0	0.03046	-1.28936	0	0	0.0403	0.0403	0	0.03234	0.05918	0.05918	0	0	0.0933	0.0933
0.76818	3	0.57549	0.09416	-1.81773	1	0.44653	0.07033	-0.92967	0	0	0.05672	0.05672	0	0	0.09187	0.09187
0.82305	2	0.69375	0.13785	-1.14033	1	0.80437	0.11889	-0.88111	0	0.57549	0.10601	0.10601	1	1	0.17949	-0.82051
0.87792	2	0	0.09693	-1.21721	1	0	0.10691	-0.89309	1	0.69375	0.15222	-0.84778	0	0	0.1435	0.1435
0.93278	4	1.7082	0.28589	-2.14434	0	1.33165	0.19669	0.19669	1	0	0.1331	-0.8669	0	0	0.1413	0.1413
0.98765	3	2.39275	0.45267	-1.4442	2	2.63343	0.35786	-1.64214	0	1.7082	0.28046	0.28046	0	3	0.4062	0.4062
1.04252	5	0.2207	0.33648	-2.69248	2	0.31848	0.34104	-1.65896	2	2.39275	0.44822	-1.55178	0	1	0.38926	0.38926
1.09739	1	0	0.31904	-0.40064	0	0	0.3315	0.3315	0	0.2207	0.40414	0.40414	1	0	0.35006	-0.64994
1.15226	5	0.00686	0.31498	-2.81101	2	0.00735	0.32659	-1.67341	1	0	0.38736	-0.61264	1	0	0.34472	-0.65528
