t	000dec	irf	000fit	000res	025dec	025fit	025res	050dec	050fit	050res	075dec	075fit	075res	100dec	100fit	100res
19.7531	6.00000	0.00000	0.00000	-2.44949	19.0000	0.00000	-4.35890	20.0000	0.00000	-4.47214	31.0000	0.00000	-5.56776	16.0000	0.00000	-4.00000
19.8080	23.0000	0.00000	0.00000	-4.29575	28.0000	0.00000	-4.64521	37.0000	0.00000	-5.82599	34.0000	0.00000	-5.16497	45.0000	0.00000	-6.14271
19.8628	57.0000	33.8205	0.00000	-6.52121	62.0000	0.00000	-6.74871	64.0000	2.46311	-6.50829	65.0000	5.39962	-5.81640	100.000	8.68025	-8.71492
19.9177	102.000	473.020	20.5672	-6.25613	117.000	27.3615	-6.58274	125.000	36.9000	-6.42291	150.000	44.9564	-7.04101	151.000	53.7223	-6.37483
19.9726	194.000	1040.40	77.7748	-6.48369	196.000	93.1314	-5.45543	201.000	112.482	-4.58531	245.000	129.225	-5.65522	237.000	147.648	-4.21731
20.0274	316.000	2055.64	194.564	-5.58037	354.000	226.166	-5.55158	354.000	261.617	-3.96615	416.000	292.142	-5.00304	456.000	324.472	-5.16248
20.0823	488.000	2874.52	383.345	-4.00875	522.000	424.494	-3.53716	516.000	469.627	-1.66913	617.000	513.605	-3.53030	625.000	560.078	-2.14494
20.1372	672.000	3957.06	633.238	-1.26094	775.000	691.751	-2.58935	860.000	755.413	-3.21641	921.000	820.173	-2.95629	1013.00	887.783	-3.56039
20.1920	1034.00	5264.25	978.075	-1.57171	1127.00	1054.06	-1.97357	1177.00	1134.94	-1.12423	1293.00	1223.00	-1.79632	1397.00	1313.83	-2.06888
20.2469	1376.00	6488.39	1413.25	0.917590	1591.00	1505.35	-2.04374	1549.00	1601.68	1.24035	1775.00	1714.98	-1.36659	1818.00	1830.10	0.265590
20.3018	1895.00	7438.02	1925.78	0.673090	2095.00	2028.52	-1.41661	2101.00	2135.19	0.717700	2238.00	2273.76	0.729250	2448.00	2412.90	-0.690600
20.3567	2428.00	8352.48	2500.80	1.43509	2526.00	2614.84	1.71329	2633.00	2732.58	1.89363	2814.00	2898.66	1.56250	2987.00	3063.05	1.35809
20.4115	2992.00	9031.40	3136.05	2.58694	3108.00	3255.41	2.59351	3207.00	3376.36	2.95255	3347.00	3566.56	3.71661	3565.00	3751.20	3.05783
20.4664	3630.00	9017.66	3786.93	2.58638	3708.00	3900.42	3.12096	3836.00	4015.85	2.88672	3942.00	4226.51	4.44321	4386.00	4428.04	0.638400
20.5213	4303.00	9313.36	4438.80	2.07561	4371.00	4555.24	2.78323	4546.00	4673.61	1.90878	4700.00	4908.33	3.03800	5006.00	5128.58	1.73996
20.5761	4831.00	9252.39	5109.06	3.98943	4896.00	5216.82	4.56665	4978.00	5323.58	4.87502	5394.00	5573.46	2.46659	5605.00	5802.00	2.64684
20.6310	5415.00	8411.34	5730.03	4.25403	5655.00	5819.36	2.20931	5584.00	5908.98	4.33790	5905.00	6170.14	3.45265	6161.00	6403.72	3.10150
20.6859	6263.00	8187.99	6305.66	0.550160	6260.00	6390.15	1.67026	6500.00	6475.14	-0.316860	6786.00	6751.45	-0.430580	7046.00	6992.09	-0.659370
20.7407	6770.00	7669.84	6866.65	1.19608	6820.00	6934.60	1.41119	6842.00	7000.67	1.94585	7198.00	7282.57	1.01514	7468.00	7519.75	0.611390
20.7956	7089.00	6616.96	7354.71	3.16473	7075.00	7401.44	3.87571	7100.00	7446.86	4.10476	7558.00	7730.95	2.00569	7630.00	7961.26	3.79034
20.8505	8062.00	5825.30	7773.08	-3.33800	7919.00	7803.70	-1.32744	7920.00	7833.12	-0.999120	8244.00	8118.70	-1.41335	8253.00	8340.56	0.977360
20.9054	7752.00	5000.27	8135.72	4.31623	7946.00	8147.43	2.26212	8108.00	8157.34	0.553930	8212.00	8439.89	2.50941	8600.00	8648.34	0.528320
20.9602	8284.00	4142.21	8430.74	1.61494	8407.00	8424.40	0.191420	8267.00	8417.43	1.65772	8470.00	8696.31	2.44970	8702.00	8891.08	2.03335
21.0151	8976.00	3738.78	8681.40	-3.18527	8870.00	8664.74	-2.22153	8965.00	8646.83	-3.44447	9156.00	8922.57	-2.48958	9278.00	9102.99	-1.85425
21.0700	8814.00	3015.61	8895.88	0.873790	8945.00	8860.07	-0.906590	8766.00	8822.41	0.602770	9208.00	9088.92	-1.25641	9090.00	9249.29	1.66859
21.1248	9120.00	2395.37	9051.02	-0.727520	9116.00	9001.96	-1.20154	8941.00	8951.95	0.115450	9391.00	9211.20	-1.87676	9290.00	9353.41	0.657310
21.1797	9439.00	2022.81	9176.32	-2.74000	9264.00	9115.56	-1.54904	9206.00	9053.71	-1.59575	9374.00	9304.65	-0.717220	9510.00	9427.58	-0.849870
21.2346	9451.00	1702.75	9275.52	-1.81502	9294.00	9204.21	-0.930820	9518.00	9131.66	-4.02063	9507.00	9373.83	-1.37089	9818.00	9476.94	-3.49964
21.2894	9130.00	1404.43	9352.32	2.28611	9228.00	9270.43	0.437810	9140.00	9187.51	0.492710	9282.00	9420.46	1.42065	9477.00	9503.60	0.272120
21.3443	9941.00	1282.98	9413.47	-5.39914	10001.0	9324.45	-6.95352	10000.0	9234.26	-7.91268	10000.0	9458.87	-5.53657	10000.0	9522.70	-4.86409
21.3992	9563.00	1117.04	9466.62	-0.984890	9522.00	9368.34	-1.57746	9170.00	9268.70	1.01737	9751.00	9483.63	-2.73597	9485.00	9527.12	0.429130
21.4540	9695.00	1033.15	9508.04	-1.90469	9514.00	9403.17	-1.13419	9392.00	9296.88	-0.977860	9253.00	9503.16	2.55665	9531.00	9527.26	-0.0381100
21.5089	9962.00	936.216	9545.55	-4.23513	9637.00	9432.59	-2.08785	9558.00	9317.88	-2.46874	9728.00	9514.40	-2.18021	9777.00	9518.18	-2.63838
21.5638	9619.00	843.605	9574.01	-0.456700	9622.00	9453.93	-1.71741	9362.00	9332.05	-0.307670	9688.00	9519.23	-1.72351	9774.00	9503.20	-2.76763
21.6187	9395.00	780.881	9597.94	2.06104	9316.00	9470.75	1.58519	9363.00	9341.61	-0.220440	9369.00	9519.23	1.53647	9320.00	9483.33	1.67587
21.6735	9960.00	737.208	9617.53	-3.47393	9809.00	9483.76	-3.33036	9653.00	9347.96	-3.14125	9585.00	9516.27	-0.704660	9681.00	9460.85	-2.26308
21.7284	9757.00	712.693	9635.34	-1.23479	9616.00	9495.13	-1.24033	9503.00	9352.51	-1.55242	9735.00	9511.27	-2.29523	9567.00	9436.08	-1.34886
21.7833	9443.00	618.707	9648.48	2.08912	9160.00	9500.56	3.49412	9262.00	9350.22	0.910610	9195.00	9498.95	3.12272	9031.00	9403.85	3.85358
21.8381	9860.00	611.444	9656.77	-2.06337	9577.00	9503.29	-0.756480	9492.00	9347.43	-1.49189	9743.00	9487.20	-2.63010	9319.00	9373.30	0.563510
21.8930	9775.00	623.981	9667.43	-1.09051	9583.00	9507.87	-0.770740	9287.00	9345.59	0.605550	9319.00	9475.94	1.61517	9165.00	9342.87	1.84740
21.9479	9601.00	588.969	9676.26	0.763350	9152.00	9510.16	3.67956	9096.00	9341.23	2.54119	9154.00	9462.08	3.17535	9148.00	9309.92	1.68864
22.0027	9657.00	571.014	9682.93	0.263150	9664.00	9510.72	-1.57430	9445.00	9335.62	-1.13533	9479.00	9447.18	-0.328520	9249.00	9276.31	0.285440
22.0576	9866.00	563.248	9689.19	-1.79370	9573.00	9510.90	-0.636750	9415.00	9329.48	-0.888180	9555.00	9431.65	-1.27376	9089.00	9241.98	1.60059
22.1125	9651.00	515.832	9693.10	0.426790	9381.00	9508.06	1.30390	9103.00	9319.95	2.25310	9208.00	9412.61	2.11860	9182.00	9204.34	0.234290
22.1674	9881.00	537.675	9695.84	-1.88336	9566.00	9505.61	-0.620930	9214.00	9312.07	1.02108	9330.00	9395.75	0.682530	9002.00	9169.28	1.76061
22.2222	9677.00	464.884	9698.13	0.215220	9664.00	9500.33	-1.68211	9229.00	9298.96	0.729060	9435.00	9372.41	-0.650720	9189.00	9126.77	-0.656680
