t	0000ul_dec	0000ul_irf	0000ul_fit	0000ul_res	0250ul_dec	0250ul_irf	0250ul_fit	0250ul_res	0500ul_dec	0500ul_irf	0500ul_fit	0500ul_res	0750ul_dec	0750ul_irf	0750ul_fit	0750ul_res	1000ul_dec	1000ul_irf	1000ul_fit	1000ul_res
19.314	5	0	0	-2.23607	5	0	0	-2.23607	6	0	0	-2.44949	10	0	0	-3.16228	7	0	0	-2.64575
19.369	4	0	0	-1.85164	4	0	0	-2	5	0	0	-1.93649	7	0.05152	0.01031	-2.64185	4	0.03148	0.00719	-1.91808
19.424	5	0	0	-2.63523	3	0	0	-1.43019	9	0	0	-3.94676	4	0	0.00288	-1.55588	2	0	0.00178	-1.11704
19.479	3	0	0	-1.52753	6	0	0	-2.94782	3	0	0	-1.30488	3	0.00271	0.00341	-1.15645	2	0.0018	0.00218	-1.07894
19.534	1	0	0	-0.5145	4	0	0	-1.85164	3	0	0	-1.29904	9	0.0027	0.00354	-3.29728	1	0.0011	0.00211	-0.53768
19.588	4	0	0	-2	5	0	0	-2.23607	4	0	0	-1.64833	7	0	0.00313	-2.42379	6	0	0.00191	-2.99905
19.643	5	0	0	-2.43332	2	0	0	-0.7746	7	0	0	-2.54662	7	0.05021	0.01317	-2.10661	2	0.02328	0.00721	-0.8629
19.698	3	0	0	-1.20268	5	0	0	-1.62698	5	0	0	-1.53093	14	0	0.0059	-3.69633	1	0	0.0032	-0.31348
19.753	4	0	0	-1.14416	8	0	0	-2.02116	6	0	0	-1.43656	6	0.79576	0.16519	-1.26658	6	0.34155	0.08124	-1.29158
19.808	7	9.9629	1.62814	-1.10944	8	9.9629	1.80431	-1.16626	11	9.9629	1.92031	-1.63076	18	14.2031	2.89395	-2.48716	12	11.9802	2.76092	-1.50539
19.863	6	37.2545	6.63714	0.09545	19	37.2545	7.29111	-1.66516	20	37.2545	7.72101	-1.68842	31	43.9718	9.6477	-2.68305	16	40.5454	9.96928	-0.7578
19.918	23	87.0891	16.832	-0.69347	28	87.0891	18.349	-1.02557	37	87.0891	19.3443	-1.84632	34	105.393	24.3982	-0.92063	45	95.7767	24.8869	-1.88561
19.973	57	213.551	42.288	-1.27569	62	213.551	45.9977	-1.32436	64	213.551	48.4301	-1.27888	65	248.788	58.98	-0.45406	100	230.722	61.138	-2.87189
20.027	102	441.458	91.2737	-0.74513	117	441.458	98.9065	-1.1899	125	441.458	103.905	-1.35293	150	507.646	124.661	-1.52127	151	473.521	129.649	-1.24309
20.082	194	851.73	182.578	-0.63719	196	851.73	197.242	0.06586	201	851.73	206.834	0.30223	245	954.582	242.386	-0.12767	237	902.281	254.328	0.81784
20.137	316	1434.63	324.614	0.39585	354	1434.63	349.15	-0.21062	354	1434.63	365.173	0.47965	416	1573.9	419.445	0.13915	456	1503.44	442.506	-0.52965
20.192	488	2190.66	526.896	1.48988	522	2190.66	564.057	1.52568	516	2190.66	588.27	2.60123	617	2357.53	663.711	1.59489	625	2273.55	702.979	2.57634
20.247	672	3058.58	788.843	3.80091	775	3058.58	840.198	2.02788	860	3058.58	873.561	0.41706	921	3239.7	971.002	1.46608	1013	3148.75	1030.46	0.49634
20.302	1034	4048.87	1118.19	2.36593	1127	4048.87	1185.41	1.58033	1177	4048.87	1228.94	1.38815	1293	4287.99	1360.1	1.72196	1397	4166.57	1439.14	1.04808
20.357	1376	5268.94	1539.05	4.0166	1591	5268.94	1625.63	0.82629	1549	5268.94	1681.51	3.12	1775	5481.72	1835.87	1.38589	1818	5377.57	1948.27	2.85827
20.412	1895	6290.12	1993.86	2.16193	2095	6290.12	2095.55	0.01177	2101	6290.12	2160.85	1.2564	2238	6523.71	2346.61	2.21455	2448	6404.69	2482.18	0.6725
20.466	2428	7482.6	2531.9	2.04821	2526	7482.6	2651.08	2.41234	2633	7482.6	2727.22	1.79184	2814	7680.42	2936.79	2.26621	2987	7584.48	3106.83	2.13979
20.521	2992	8371.79	3084.88	1.668	3108	8371.79	3215.4	1.88949	3207	8371.79	3298.17	1.58949	3347	8558.47	3533.75	3.16128	3565	8463.7	3726.84	2.6577
20.576	3630	9256.8	3684.72	0.90178	3708	9256.8	3825.83	1.91124	3836	9256.8	3914.59	1.26146	3942	9370.13	4164.03	3.46753	4386	9317.72	4387.6	0.02423
20.631	4303	9626.58	4247.51	-0.84817	4371	9626.58	4389.41	0.27818	4546	9626.58	4477.53	-1.02416	4700	9686.26	4737.74	0.5503	5006	9655.81	4975.14	-0.43808
20.686	4831	9852.91	4805.44	-0.36667	4896	9852.91	4945.13	0.69929	4978	9852.91	5030.47	0.74019	5394	9840.06	5293.62	-1.3796	5605	9849.46	5544.77	-0.80927
20.741	5415	9779	5324.94	-1.21616	5655	9779	5456.67	-2.66589	5584	9779	5535.34	-0.64958	5905	9831.14	5822.45	-1.07501	6161	9800.9	6065.84	-1.216
20.796	6263	10032.7	5892.01	-4.78437	6260	10032.7	6021.3	-3.06321	6500	10032.7	6096.8	-5.13842	6786	9975.48	6378.35	-5.08072	7046	10011.2	6639.1	-4.9771
20.85	6770	9526.93	6347.08	-5.23361	6820	9526.93	6460.08	-4.43227	6842	9526.93	6523.15	-3.91018	7198	9470.48	6809.23	-4.66653	7468	9493.66	7053.73	-4.89472
20.905	7089	9411.75	6836.21	-3.01092	7075	9411.75	6939.73	-1.60601	7100	9411.75	6994.79	-1.24511	7558	9365.44	7288.83	-3.12153	7630	9391.6	7529.75	-1.14706
20.96	8062	9104.05	7285.72	-8.96873	7919	9104.05	7376.13	-6.25019	7920	9104.05	7420.66	-5.74242	8244	9069.49	7721.4	-5.89483	8253	9084.6	7949.17	-3.39155
